rightx,righty,topx,topy,bottomx,bottomy,leftx,lefty
1000.2086160183,-0.000757455825805664,-0.000758171081542969,999.895699501038,0.000754594802856445,-999.895700216293,-1000.20861458778,0.000756978988647461
1000.21437072754,-0.00078892707824707,-0.000789880752563477,999.892822980881,0.000785589218139648,-999.892823696136,-1000.21436929703,0.00078892707824707
1000.2202038765,-0.000821590423583984,-0.000822544097900391,999.889907360077,0.000817775726318359,-999.889907598495,-1000.2202026844,0.000821352005004883
1000.22611522675,-0.000854730606079102,-0.000855922698974609,999.886952638626,0.00085139274597168,-999.88695192337,-1000.22611403465,0.000854730606079102
1000.23210501671,-0.000888824462890625,-0.000889778137207031,999.88395857811,0.000886440277099609,-999.883957862854,-1000.23210334778,0.000889301300048828
1000.23817253113,-0.000924110412597656,-0.000925540924072266,999.880924940109,0.000921010971069336,-999.880924224854,-1000.23817133904,0.000923871994018555
1000.24431872368,-0.000960588455200195,-0.000961780548095703,999.877851963043,0.000957250595092773,-999.877851963043,-1000.24431753159,0.000959873199462891
1000.25054359436,-0.000996828079223633,-0.000998020172119141,999.874740839005,0.000994682312011719,-999.874739646912,-1000.25054192543,0.000998020172119141
1000.2568461895,-0.00103497505187988,-0.00103592872619629,999.871589660645,0.00103235244750977,-999.871588945389,-1000.25684452057,0.00103616714477539
1000.26322698593,-0.00107312202453613,-0.00107502937316895,999.868399620056,0.00107145309448242,-999.8683989048,-1000.26322555542,0.00107479095458984
1000.26968646049,-0.00111222267150879,-0.0011146068572998,999.865170717239,0.00111126899719238,-999.865169763565,-1000.26968479156,0.00111484527587891
1000.27622389793,-0.00115323066711426,-0.00115537643432617,999.861902475357,0.00115180015563965,-999.861901283264,-1000.27622246742,0.00115561485290527
1000.28283929825,-0.00119495391845703,-0.00119757652282715,999.858595609665,0.00119280815124512,-999.858593702316,-1000.28283834457,0.00119757652282715
1000.28953361511,-0.00123763084411621,-0.00124025344848633,999.855248689651,0.0012357234954834,-999.85524725914,-1000.28953242302,0.00124073028564453
1000.29630589485,-0.00128078460693359,-0.00128436088562012,999.851863384247,0.00127935409545898,-999.851861000061,-1000.29630494118,0.00128483772277832
1000.30315709114,-0.00132536888122559,-0.00132894515991211,999.848438501358,0.00132393836975098,-999.848436594009,-1000.30315589905,0.00132966041564941
1000.31008625031,-0.00137114524841309,-0.00137519836425781,999.844974279404,0.00136971473693848,-999.844972848892,-1000.31008529663,0.00137543678283691
1000.31709384918,-0.00141763687133789,-0.00142240524291992,999.841471672058,0.00141620635986328,-999.841469526291,-1000.31709313393,0.00142288208007812
1000.32417988777,-0.00146603584289551,-0.00147032737731934,999.837929725647,0.00146389007568359,-999.837927103043,-1000.32417869568,0.00147104263305664
1000.3313434124,-0.00151491165161133,-0.00151944160461426,999.834347724915,0.00151252746582031,-999.834345817566,-1000.33134269714,0.00151991844177246
1000.33858585358,-0.00156450271606445,-0.00156950950622559,999.830727577209,0.00156235694885254,-999.830724954605,-1000.3385848999,0.00156998634338379
1000.34590649605,-0.00161528587341309,-0.00162100791931152,999.827068090439,0.00161314010620117,-999.827065467834,-1000.34590601921,0.00162100791931152
1000.35330510139,-0.00166726112365723,-0.00167369842529297,999.823369264603,0.00166535377502441,-999.823366880417,-1000.35330581665,0.00167346000671387
1000.36078190804,-0.00172090530395508,-0.00172781944274902,999.819631099701,0.00171804428100586,-999.819629430771,-1000.36078357697,0.00172638893127441
1000.36833763123,-0.00177526473999023,-0.00178289413452148,999.815853595734,0.00177240371704102,-999.815852403641,-1000.36833930016,0.00178074836730957
1000.37597131729,-0.0018303394317627,-0.00183868408203125,999.812037706375,0.00182819366455078,-999.812036037445,-1000.37597346306,0.00183653831481934
1000.38368391991,-0.00188708305358887,-0.00189590454101562,999.80818271637,0.00188469886779785,-999.808180570602,-1000.38368558884,0.00189352035522461
1000.39147496223,-0.00194501876831055,-0.0019538402557373,999.80428814888,0.00194263458251953,-999.80428647995,-1000.39147591591,0.00195121765136719
1000.39934396744,-0.00200390815734863,-0.00201249122619629,999.800354480743,0.00200200080871582,-999.800353050232,-1000.39934468269,0.00201034545898438
1000.40729141235,-0.00206398963928223,-0.00207328796386719,999.796381950378,0.00206208229064941,-999.796379804611,-1000.40729188919,0.00207090377807617
1000.41531705856,-0.00212526321411133,-0.00213432312011719,999.792370080948,0.00212311744689941,-999.792368173599,-1000.4153175354,0.00213170051574707
1000.42342066765,-0.00218772888183594,-0.0021970272064209,999.788319826126,0.00218534469604492,-999.78831744194,-1000.42342185974,0.00219440460205078
1000.43160295486,-0.00225186347961426,-0.00226140022277832,999.784229516983,0.00224900245666504,-999.784227371216,-1000.43160390854,0.0022580623626709
1000.43986344337,-0.00231719017028809,-0.00232672691345215,999.780100345612,0.00231409072875977,-999.780098438263,-1000.43986439705,0.00232243537902832
1000.44820261002,-0.00238347053527832,-0.00239276885986328,999.775931835175,0.0023806095123291,-999.775930166245,-1000.44820284843,0.00238895416259766
1000.45661950111,-0.00245070457458496,-0.00246047973632812,999.771724224091,0.00244832038879395,-999.771722316742,-1000.45662045479,0.0024564266204834
1000.46511483192,-0.00251913070678711,-0.00252914428710938,999.767477989197,0.0025169849395752,-999.767475605011,-1000.46511602402,0.00252556800842285
1000.4736893177,-0.00258922576904297,-0.00259876251220703,999.763192176819,0.00258731842041016,-999.763189792633,-1000.47368955612,0.00259590148925781
1000.48234128952,-0.00266051292419434,-0.0026695728302002,999.758867502213,0.00265884399414062,-999.758864402771,-1000.48234152794,0.00266695022583008
1000.49107170105,-0.00273323059082031,-0.00274181365966797,999.754503726959,0.0027315616607666,-999.754500389099,-1000.49107122421,0.00273990631103516
1000.49988007545,-0.0028069019317627,-0.00281620025634766,999.750100851059,0.00280523300170898,-999.750097513199,-1000.49988007545,0.00281381607055664
1000.50876688957,-0.00288271903991699,-0.00289154052734375,999.745658159256,0.00288057327270508,-999.745655536652,-1000.50876688957,0.00288891792297363
1000.51773238182,-0.00295925140380859,-0.00296783447265625,999.741176843643,0.00295758247375488,-999.741174221039,-1000.51773166656,0.00296545028686523
1000.52677559853,-0.00303792953491211,-0.00304579734802246,999.736656427383,0.00303530693054199,-999.73665356636,-1000.52677536011,0.00304293632507324
1000.53589773178,-0.00311708450317383,-0.00312519073486328,999.732096672058,0.00311470031738281,-999.732094287872,-1000.53589725494,0.00312232971191406
1000.54509878159,-0.00319838523864746,-0.00320577621459961,999.727498054504,0.00319552421569824,-999.727495908737,-1000.54509735107,0.00320291519165039
1000.55437660217,-0.0032806396484375,-0.00328803062438965,999.722860574722,0.00327706336975098,-999.722858667374,-1000.55437636375,0.00328493118286133
1000.56373357773,-0.00336408615112305,-0.00337123870849609,999.718183279037,0.00336027145385742,-999.718182086945,-1000.56373310089,0.00336861610412598
1000.573168993,-0.0034489631652832,-0.00345587730407715,999.713467121124,0.00344514846801758,-999.713466644287,-1000.57316851616,0.00345349311828613
1000.58268260956,-0.00353527069091797,-0.00354242324829102,999.708711624146,0.00353121757507324,-999.708711385727,-1000.58268237114,0.0035400390625
1000.59227466583,-0.00362300872802734,-0.00363016128540039,999.703917264938,0.00361895561218262,-999.70391702652,-1000.59227442741,0.00362730026245117
1000.60194468498,-0.00371241569519043,-0.00371980667114258,999.699083805084,0.0037078857421875,-999.699084043503,-1000.6019449234,0.00371599197387695
1000.61169290543,-0.00380277633666992,-0.00381040573120117,999.694211959839,0.00379824638366699,-999.694211006165,-1000.6116938591,0.00380682945251465
1000.62152004242,-0.00389504432678223,-0.00390267372131348,999.689300298691,0.00388979911804199,-999.689300060272,-1000.62152075768,0.00389862060546875
1000.63142538071,-0.00398826599121094,-0.00399637222290039,999.684350013733,0.0039832592010498,-999.684349060059,-1000.63142585754,0.00399231910705566
1000.64140820503,-0.00408315658569336,-0.00409197807312012,999.679360628128,0.00407814979553223,-999.679358959198,-1000.64140939713,0.00408744812011719
1000.65146994591,-0.00417995452880859,-0.00418925285339355,999.674331903458,0.00417470932006836,-999.674330234528,-1000.65147137642,0.00418400764465332
1000.66160964966,-0.00427865982055664,-0.0042874813079834,999.669263839722,0.0042729377746582,-999.669262647629,-1000.66161179543,0.00428175926208496
1000.67182850838,-0.00437760353088379,-0.00438666343688965,999.664157390594,0.00437283515930176,-999.664155006409,-1000.67182970047,0.00438189506530762
1000.68212532997,-0.00447893142700195,-0.00448751449584961,999.659011125565,0.00447392463684082,-999.659008979797,-1000.68212652206,0.00448226928710938
1000.69250035286,-0.00458145141601562,-0.00459027290344238,999.653825759888,0.00457668304443359,-999.65382361412,-1000.69250178337,0.00458502769470215
1000.70295405388,-0.00468540191650391,-0.00469422340393066,999.648601770401,0.00468111038208008,-999.648598670959,-1000.70295476913,0.00468945503234863
1000.71348595619,-0.0047907829284668,-0.00479984283447266,999.643337965012,0.00478696823120117,-999.64333486557,-1000.71348667145,0.00479531288146973
1000.72409629822,-0.0048983097076416,-0.00490713119506836,999.638035535812,0.00489449501037598,-999.638031959534,-1000.72409677505,0.00490283966064453
1000.73478388786,-0.00500726699829102,-0.00501656532287598,999.632693767548,0.00500321388244629,-999.632690191269,-1000.73478507996,0.00501203536987305
1000.74555063248,-0.00511789321899414,-0.0051267147064209,999.627313137054,0.00511407852172852,-999.627309560776,-1000.74555182457,0.00512242317199707
1000.7563958168,-0.00523018836975098,-0.00523853302001953,999.621892690659,0.00522661209106445,-999.621889829636,-1000.75639653206,0.0052344799041748
1000.76731944084,-0.00534391403198242,-0.00535225868225098,999.616433620453,0.0053398609161377,-999.616430282593,-1000.7673201561,0.00534868240356445
1000.77832102776,-0.00545859336853027,-0.00546741485595703,999.610935688019,0.00545549392700195,-999.610931634903,-1000.77832198143,0.00546455383300781
1000.7894012928,-0.00557541847229004,-0.0055844783782959,999.605398654938,0.00557255744934082,-999.605393886566,-1000.78940200806,0.00558185577392578
1000.80055999756,-0.00569391250610352,-0.00570297241210938,999.599822044373,0.0056915283203125,-999.599817752838,-1000.80055975914,0.00570058822631836
1000.81179666519,-0.00581455230712891,-0.00582313537597656,999.594206809998,0.00581192970275879,-999.5942029953,-1000.81179594994,0.00582027435302734
1000.82311201096,-0.0059361457824707,-0.00594496726989746,999.588552951813,0.00593423843383789,-999.588548183441,-1000.82311058044,0.00594329833984375
1000.8345053196,-0.00606060028076172,-0.00606846809387207,999.582859992981,0.0060575008392334,-999.582855224609,-1000.8345041275,0.00606679916381836
1000.84597730637,-0.00618648529052734,-0.00619363784790039,999.577126979828,0.00618290901184082,-999.577122688293,-1000.84597587585,0.00619173049926758
1000.85752773285,-0.00631475448608398,-0.00632023811340332,999.571354389191,0.00631046295166016,-999.571351528168,-1000.85752558708,0.00631809234619141
1000.86915659904,-0.00644350051879883,-0.00644874572753906,999.565543651581,0.0064394474029541,-999.565540313721,-1000.86915373802,0.00644731521606445
1000.88086295128,-0.00657367706298828,-0.00657987594604492,999.559693336487,0.00656938552856445,-999.559690475464,-1000.88086104393,0.00657844543457031
1000.89264798164,-0.00670576095581055,-0.00671243667602539,999.553803920746,0.00670170783996582,-999.55380153656,-1000.89264655113,0.00671195983886719
1000.90451192856,-0.00684022903442383,-0.00684618949890137,999.547875881195,0.0068361759185791,-999.547873973846,-1000.90450978279,0.00684547424316406
1000.91645359993,-0.00697517395019531,-0.00698208808898926,999.541908740997,0.00697207450866699,-999.541905403137,-1000.91645145416,0.00698232650756836
1000.92847418785,-0.00711250305175781,-0.00711989402770996,999.535902500153,0.0071098804473877,-999.535898685455,-1000.92847132683,0.00712013244628906
1000.9405734539,-0.00725317001342773,-0.00725936889648438,999.529856681824,0.00724959373474121,-999.529852867126,-1000.94056940079,0.00725984573364258
1000.95275020599,-0.00739383697509766,-0.0074005126953125,999.523772239685,0.00739097595214844,-999.523767471313,-1000.95274591446,0.00740194320678711
1000.96500515938,-0.0075373649597168,-0.00754380226135254,999.517649650574,0.00753402709960938,-999.517643451691,-1000.96500062943,0.00754499435424805
1000.97733855247,-0.00768184661865234,-0.00768876075744629,999.511487007141,0.00767922401428223,-999.511480331421,-1000.9773337841,0.0076904296875
1000.98975014687,-0.00782871246337891,-0.00783514976501465,999.505284786224,0.00782608985900879,-999.505277633667,-1000.98974561691,0.00783729553222656
1001.00224018097,-0.00797796249389648,-0.00798392295837402,999.499043464661,0.00797510147094727,-999.49903678894,-1001.0022354126,0.00798606872558594
1001.01480841637,-0.00812816619873047,-0.00813460350036621,999.492763519287,0.00812506675720215,-999.49275636673,-1001.01480412483,0.00813770294189453
1001.02745556831,-0.00828027725219727,-0.00828695297241211,999.486445426941,0.00827741622924805,-999.486436843872,-1001.02745056152,0.00829029083251953
1001.04018092155,-0.00843524932861328,-0.00844097137451172,999.480087280273,0.00843214988708496,-999.480078697205,-1001.04017519951,0.00844478607177734
1001.05298399925,-0.0085911750793457,-0.00859713554382324,999.473690032959,0.00858831405639648,-999.473680973053,-1001.05297851562,0.00860071182250977
1001.06586527824,-0.00874900817871094,-0.00875568389892578,999.467253684998,0.00874638557434082,-999.467244148254,-1001.06586050987,0.008758544921875
1001.0788257122,-0.00890922546386719,-0.00891542434692383,999.460778236389,0.00890660285949707,-999.460769176483,-1001.078820467,0.00891780853271484
1001.09186458588,-0.00907135009765625,-0.00907707214355469,999.454264163971,0.00906848907470703,-999.454253673553,-1001.09185862541,0.00908088684082031
1001.10498166084,-0.00923585891723633,-0.00924086570739746,999.447710514069,0.00923252105712891,-999.447699069977,-1001.10497522354,0.00924444198608398
1001.1181769371,-0.00940227508544922,-0.00940680503845215,999.441118240356,0.00939846038818359,-999.441105365753,-1001.11817026138,0.00941085815429688
1001.13145089149,-0.00957059860229492,-0.00957441329956055,999.434485912323,0.0095667839050293,-999.434473514557,-1001.13144373894,0.00957918167114258
1001.14480257034,-0.00974082946777344,-0.00974416732788086,999.427814483643,0.00973677635192871,-999.427803039551,-1001.1447956562,0.00974941253662109
1001.1582326889,-0.00991249084472656,-0.00991582870483398,999.421104431152,0.00990819931030273,-999.421093463898,-1001.15822577477,0.00992059707641602
1001.17174100876,-0.0100855827331543,-0.0100898742675781,999.414355278015,0.0100817680358887,-999.414343833923,-1001.17173457146,0.010094165802002
1001.18532800674,-0.0102615356445312,-0.0102660655975342,999.407566070557,0.0102574825286865,-999.407555103302,-1001.18532156944,0.0102705955505371
1001.19899320602,-0.0104398727416992,-0.010444164276123,999.400737285614,0.0104351043701172,-999.400727748871,-1001.19898700714,0.0104475021362305
1001.21273589134,-0.0106205940246582,-0.0106246471405029,999.393869876862,0.0106146335601807,-999.393862247467,-1001.21273112297,0.010627269744873
1001.22655773163,-0.0108022689819336,-0.0108070373535156,999.386963844299,0.0107965469360352,-999.386957168579,-1001.22655296326,0.0108094215393066
1001.24045777321,-0.010986328125,-0.0109913349151611,999.380019187927,0.0109806060791016,-999.380012512207,-1001.24045348167,0.0109944343566895
1001.2544362545,-0.0111727714538574,-0.0111770629882812,999.373034000397,0.0111668109893799,-999.373028755188,-1001.25443172455,0.0111804008483887
1001.26849317551,-0.0113615989685059,-0.0113654136657715,999.366010189056,0.011354923248291,-999.366005420685,-1001.26848888397,0.0113692283630371
1001.28262805939,-0.0115509033203125,-0.0115559101104736,999.358948707581,0.011544942855835,-999.358942985535,-1001.28262448311,0.0115599632263184
1001.29684185982,-0.0117435455322266,-0.0117483139038086,999.351847171783,0.0117373466491699,-999.3518409729,-1001.29683852196,0.0117530822753906
1001.31113362312,-0.0119376182556152,-0.0119433403015137,999.344707965851,0.0119316577911377,-999.344700336456,-1001.31113123894,0.0119481086730957
1001.32550406456,-0.0121331214904785,-0.0121405124664307,999.337529182434,0.0121285915374756,-999.337521076202,-1001.32550168037,0.0121450424194336
1001.33995270729,-0.0123324394226074,-0.0123395919799805,999.33031129837,0.0123276710510254,-999.330302715302,-1001.33995079994,0.0123434066772461
1001.35448026657,-0.0125336647033691,-0.0125401020050049,999.323052883148,0.0125288963317871,-999.323045253754,-1001.35447740555,0.0125446319580078
1001.36908602715,-0.0127363204956055,-0.0127439498901367,999.315756797791,0.0127320289611816,-999.315748691559,-1001.36908245087,0.0127496719360352
1001.38377022743,-0.0129413604736328,-0.0129492282867432,999.308421611786,0.0129373073577881,-999.308413505554,-1001.38376617432,0.0129542350769043
1001.39853262901,-0.0131487846374512,-0.0131566524505615,999.301046848297,0.0131447315216064,-999.301038742065,-1001.39852833748,0.0131621360778809
1001.41337299347,-0.0133590698242188,-0.0133664608001709,999.293633460999,0.0133543014526367,-999.293624401093,-1001.41336894035,0.0133719444274902
1001.42829179764,-0.0135712623596191,-0.0135781764984131,999.286180973053,0.0135664939880371,-999.286170959473,-1001.42828774452,0.013585090637207
1001.44328904152,-0.0137858390808105,-0.0137927532196045,999.278688430786,0.0137808322906494,-999.27867937088,-1001.4432849884,0.0137991905212402
1001.45836424828,-0.0140023231506348,-0.0140094757080078,999.271157741547,0.0139973163604736,-999.271148204803,-1001.45836091042,0.0140156745910645
1001.47351789474,-0.01422119140625,-0.0142285823822021,999.26358795166,0.0142159461975098,-999.263577461243,-1001.47351503372,0.0142350196838379
