earthx,earthy,jwx,jwy
253681432.665131,8707976708.315998,-1243754248.769192,8795290148.883360
256289220.091060,8752582100.201008,-1241120100.253237,8840342787.458914
258910331.305886,8797186711.208014,-1238472493.253670,8885394637.262011
261544766.075828,8841790537.357534,-1235811428.006485,8930445694.272917
264192524.165918,8886393574.670137,-1233136904.748875,8975495954.471985
266853605.339997,8930995819.166483,-1230448923.719234,9020545413.839613
269528009.360719,8975597266.867287,-1227747485.157155,9065594068.356295
272215735.989550,9020197913.793356,-1225032589.303431,9110641914.002569
274916784.986768,9064797755.965551,-1222304236.400054,9155688946.759068
277631156.111462,9109396789.404812,-1219562426.690213,9200735162.606495
280358849.121532,9153995010.132135,-1216807160.418302,9245780557.525604
283099863.773692,9198592414.168619,-1214038437.829910,9290825127.497253
285854199.823466,9243188997.535408,-1211256259.171828,9335868868.502354
288621857.025191,9287784756.253735,-1208460624.692043,9380911776.521889
291402835.132015,9332379686.344887,-1205651534.639746,9425953847.536934
294197133.895898,9376973783.830252,-1202828989.265324,9470995077.528618
297004753.067612,9421567044.731283,-1199992988.820365,9516035462.478153
299825692.396742,9466159465.069504,-1197143533.557655,9561074998.366833
302659951.631683,9510751040.866507,-1194280623.731179,9606113681.176022
305507530.519643,9555341768.143967,-1191404259.596125,9651151506.887159
308368428.806643,9599931642.923635,-1188514441.408876,9696188471.481760
311242646.237514,9644520661.227329,-1185611169.427016,9741224570.941418
314130182.555900,9689108819.076971,-1182694443.909328,9786259801.247805
317031037.504257,9733696112.494520,-1179764265.115794,9831294158.382660
319945210.823854,9778282537.502045,-1176820633.307594,9876327638.327808
322872702.254770,9822868090.121674,-1173863548.747111,9921360237.065151
325813511.535899,9867452766.375610,-1170893011.697922,9966391950.576679
328767638.404945,9912036562.286158,-1167909022.424808,10011422774.844440
331735082.598424,9956619473.875675,-1164911581.193746,10056452705.850573
334715843.851666,10001201497.166611,-1161900688.271911,10101481739.577305
337709921.898811,10045782628.181492,-1158876343.927680,10146509872.006924
340717316.472813,10090362862.942923,-1155838548.430630,10191537099.121819
343738027.305439,10134942197.473587,-1152787302.051534,10236563416.904436
346772054.127265,10179520627.796247,-1149722605.062362,10281588821.337330
349819396.667683,10224098149.933756,-1146644457.736287,10326613308.403103
352880054.654894,10268674759.909035,-1143552860.347681,10371636874.084465
355954027.815914,10313250453.745094,-1140447813.172112,10416659514.364197
359041315.876571,10357825227.465027,-1137329316.486348,10461681225.225168
362141918.561504,10402399077.092001,-1134197370.568358,10506702002.650328
365255835.594166,10446971998.649271,-1131051975.697306,10551721842.622707
368383066.696821,10491543988.160175,-1127893132.153557,10596740741.125422
371523611.590546,10536115041.648134,-1124720840.218675,10641758694.141665
374677469.995232,10580685155.136652,-1121535100.175423,10686775697.654722
377844641.629581,10625254324.649317,-1118335912.307760,10731791747.647961
381025126.211107,10669822546.209793,-1115123276.900847,10776806840.104837
384218923.456139,10714389815.841839,-1111897194.241042,10821820971.008896
387426033.079816,10758956129.569302,-1108657664.615901,10866834136.343739
390646454.796090,10803521483.416103,-1105404688.314181,10911846332.093084
393880188.317728,10848085873.406250,-1102138265.625834,10956857554.240726
397127233.356308,10892649295.563850,-1098858396.842015,11001867798.770550
400387589.622221,10937211745.913082,-1095565082.255073,11046877061.666521
403661256.824669,10981773220.478218,-1092258322.158558,11091885338.912691
406948234.671670,11026333715.283615,-1088938116.847220,11136892626.493204
410248522.870052,11070893226.353714,-1085604466.617003,11181898920.392298
413562121.125458,11115451749.713051,-1082257371.765054,11226904216.594282
416889029.142342,11160009281.386240,-1078896832.589714,11271908511.083572
420229246.623972,11204565817.397999,-1075522849.390527,11316911799.844662
423582773.272429,11249121353.773121,-1072135422.468231,11361914078.862143
426949608.788607,11293675886.536493,-1068734552.124766,11406915344.120687
430329752.872211,11338229411.713091,-1065320238.663269,11451915591.605066
433723205.221761,11382781925.327978,-1061892482.388074,11496914817.300127
437129965.534591,11427333423.406322,-1058451283.604714,11541913017.190821
440550033.506844,11471883901.973360,-1054996642.619920,11586910187.262194
443983408.833481,11516433357.054434,-1051528559.741623,11631906323.499374
447430091.208272,11560981784.674965,-1048047035.278950,11676901421.887577
450890080.323803,11605529180.860481,-1044552069.542226,11721895478.412123
454363375.871471,11650075541.636599,-1041043662.842976,11766888489.058416
457849977.541487,11694620863.029011,-1037521815.493921,11811880449.811964
461349885.022877,11739165141.063520,-1033986527.808982,11856871356.658356
464863098.003477,11783708371.766016,-1030437800.103277,11901861205.583281
468389616.169938,11828250551.162481,-1026875632.693121,11946849992.572517
471929439.207724,11872791675.278994,-1023300025.896029,11991837713.611952
475482566.801114,11917331740.141729,-1019710980.030712,12036824364.687548
479048998.633196,11961870741.776953,-1016108495.417082,12081809941.785366
482628734.385877,12006408676.211014,-1012492572.376243,12126794440.891573
486221773.739873,12050945539.470385,-1008863211.230504,12171777857.992424
489828116.374714,12095481327.581602,-1005220412.303367,12216760189.074272
493447761.968747,12140016036.571325,-1001564175.919533,12261741430.123571
497080710.199128,12184549662.466290,-997894502.404901,12306721577.126863
500726960.741828,12229082201.293341,-994211392.086566,12351700626.070797
504386513.271634,12273613649.079409,-990514845.292826,12396678572.942118
508059367.462143,12318144001.851532,-986804862.353170,12441655413.727655
511745522.985767,12362673255.636841,-983081443.598289,12486631144.414356
515444979.513733,12407201406.462568,-979344589.360070,12531605760.989246
519157736.716079,12451728450.356041,-975594299.971597,12576579259.439472
522883794.261658,12496254383.344679,-971830575.767153,12621551635.752262
526623151.818138,12540779201.456015,-968053417.082218,12666522885.914963
530375809.051999,12585302900.717674,-964262824.253470,12711493005.914999
534141765.628535,12629825477.157377,-960458797.618782,12756461991.739918
537921021.211855,12674346926.802948,-956641337.517229,12801429839.377342
541713575.464880,12718867245.682318,-952810444.289079,12846396544.815018
545519428.049346,12763386429.823500,-948966118.275799,12891362104.040777
549338578.625803,12807904475.254631,-945108359.820053,12936326513.042568
553171026.853615,12852421378.003950,-941237169.265704,12981289767.808434
557016772.390958,12896937134.099773,-937352546.957811,13026251864.326517
560875814.894826,12941451739.570538,-933454493.242630,13071212798.585072
564748154.021022,12985965190.444782,-929543008.467613,13116172566.572443
568633789.424168,13030477482.751144,-925618092.981413,13161131164.277090
572532720.757696,13074988612.518356,-921679747.133876,13206088587.687574
576444947.673855,13119498575.775272,-917727971.276048,13251044832.792564
580370469.823706,13164007368.550835,-913762765.760172,13295999895.580824
584309286.857126,13208514986.874102,-909784130.939685,13340953772.041233
588261398.422805,13253021426.774233,-905792067.169224,13385906458.162771
592226804.168247,13297526684.280487,-901786574.804623,13430857949.934519
596205503.739772,13342030755.422243,-897767654.202910,13475808243.345671
600197496.782512,13386533636.228968,-893735305.722315,13520757334.385521
604202782.940415,13431035322.730242,-889689529.722259,13565705219.043478
608221361.856243,13475535810.955750,-885630326.563366,13610651893.309061
612253233.171572,13520035096.935286,-881557696.607451,13655597353.171881
616298396.526793,13564533176.698757,-877471640.217530,13700541594.621672
620356851.561111,13609030046.276163,-873372157.757814,13745484613.648272
624428597.912545,13653525701.697630,-869259249.593710,13790426406.241627
628513635.217930,13698020138.993376,-865132916.091825,13835366968.391785
632611963.112913,13742513354.193727,-860993157.619958,13880306296.088913
636723581.231959,13787005343.329138,-856839974.547109,13925244385.323282
640848489.208345,13831496102.430159,-852673367.243471,13970181232.085281
644986686.674164,13875985627.527449,-848493336.080437,14015116832.365406
649138173.260323,13920473914.651773,-844299881.430594,14060051182.154255
653302948.596543,13964960959.834026,-840093003.667727,14104984277.442547
657481012.311362,14009446759.105190,-835872703.166815,14149916114.221113
661672364.032131,14053931308.496372,-831638980.304037,14194846688.480881
665877003.385016,14098414604.038780,-827391835.456767,14239775996.212912
670094929.994998,14142896641.763748,-823131269.003573,14284704033.408375
674326143.485874,14187377417.702705,-818857281.324224,14329630796.058538
678570643.480253,14231856927.887211,-814569872.799681,14374556280.154799
682828429.599562,14276335168.348928,-810269043.812104,14419480481.688660
687099501.464042,14320812135.119633,-805954794.744848,14464403396.651733
691383858.692748,14365287824.231216,-801627125.982464,14509325021.035767
695681500.903552,14409762231.715679,-797286037.910700,14554245350.832594
699992427.713140,14454235353.605141,-792931530.916500,14599164382.034184
704316638.737011,14498707185.931839,-788563605.388004,14644082110.632612
708654133.589484,14543177724.728121,-784182261.714548,14688998532.620075
713004911.883689,14587646966.026449,-779787500.286664,14733913643.988886
717368973.231572,14632114905.859402,-775379321.496080,14778827440.731461
721746317.243897,14676581540.259668,-770957725.735720,14823739918.840345
726136943.530239,14721046865.260073,-766522713.399704,14868651074.308212
730540851.698991,14765510876.893538,-762074284.883349,14913560903.127834
734958041.357362,14809973571.193104,-757612440.583165,14958469401.292101
739388512.111375,14854434944.191940,-753137180.896860,15003376564.794033
743832263.565867,14898894991.923325,-748648506.223339,15048282389.626772
748289295.324494,14943353710.420658,-744146416.962699,15093186871.783556
752759606.989725,14987811095.717457,-739630913.516236,15138090007.257763
757243198.162846,15032267143.847355,-735101996.286441,15182991792.042883
761740068.443956,15076721850.844105,-730559665.676999,15227892222.132528
766250217.431973,15121175212.741589,-726003922.092792,15272791293.520430
770773644.724628,15165627225.573795,-721434765.939899,15317689002.200441
775310349.918470,15210077885.374836,-716852197.625591,15362585344.166544
779860332.608860,15254527188.178957,-712256217.558338,15407480315.412825
784423592.389980,15298975130.020514,-707646826.147804,15452373911.933504
789000128.854823,15343421706.933981,-703024023.804847,15497266129.722921
793589941.595201,15387866914.953959,-698387810.941523,15542156964.775536
798193030.201741,15432310750.115166,-693738187.971082,15587046413.085938
802809394.263883,15476753208.452457,-689075155.307968,15631934470.648829
807439033.369887,15521194286.000788,-684398713.367824,15676821133.459045
812081947.106828,15565633978.795248,-679708862.567485,15721706397.511545
816738135.060596,15610072282.871046,-675005603.324982,15766590258.801407
821407596.815897,15654509194.263533,-670288936.059543,15811472713.323843
826090331.956253,15698944709.008158,-665558861.191588,15856353757.074177
830786340.064005,15743378823.140511,-660815379.142734,15901233386.047865
835495620.720305,15787811532.696308,-656058490.335793,15946111596.240488
840218173.505127,15832242833.711374,-651288195.194772,15990988383.647751
844953997.997255,15876672722.221680,-646504494.144873,16035863744.265493
849703093.774295,15921101194.263306,-641707387.612492,16080737674.089672
854465460.412666,15965528245.872475,-636896876.025221,16125610169.116377
859241097.487604,16009953873.085512,-632072959.811847,16170481225.341831
864030004.573161,16054378071.938889,-627235639.402350,16215350838.762365
868832181.242207,16098800838.469215,-622384915.227908,16260219005.374460
873647627.066427,16143222168.713198,-617520787.720891,16305085721.174715
878476341.616323,16187642058.707684,-612643257.314866,16349950982.159859
883318324.461214,16232060504.489658,-607752324.444591,16394814784.326757
888173575.169233,16276477502.096230,-602847989.546023,16439677123.672382
893042093.307333,16320893047.564632,-597930253.056310,16484537996.193865
897923878.441283,16365307136.932236,-592999115.413799,16529397397.888454
902818930.135666,16409719766.236530,-588054577.058026,16574255324.753531
907727247.953885,16454130931.515144,-583096638.429726,16619111772.786602
912648831.458158,16498540628.805832,-578125299.970825,16663966737.985313
917583680.209520,16542948854.146477,-573140562.124446,16708820216.347441
922531793.767825,16587355603.575108,-568142425.334906,16753672203.870880
927493171.691739,16631760873.129873,-563130890.047716,16798522696.553692
932467813.538749,16676164658.849043,-558105956.709580,16843371690.394033
937455718.865157,16720566956.771044,-553067625.768398,16888219181.390213
942456887.226086,16764967762.934406,-548015897.673263,16933065165.540668
947471318.175469,16809367073.377825,-542950772.874464,16977909638.843971
952499011.266063,16853764884.140106,-537872251.823483,17022752597.298824
957539966.049436,16898161191.260201,-532780334.972995,17067594036.904085
962594182.075979,16942555990.777185,-527675022.776870,17112433953.658718
967661658.894896,16986949278.730278,-522556315.690173,17157272343.561844
972742396.054210,17031341051.158821,-517424214.169161,17202109202.612705
977836393.100761,17075731304.102310,-512278718.671288,17246944526.810692
982943649.580206,17120120033.600359,-507119829.655198,17291778312.155312
988064165.037019,17164507235.692728,-501947547.580731,17336610554.646233
993197939.014493,17208892906.419308,-496761872.908922,17381441250.283260
998344971.054737,17253277041.820122,-491562806.101997,17426270395.066315
1003505260.698678,17297659637.935341,-486350347.623377,17471097984.995457
1008678807.486060,17342040690.805279,-481124497.937678,17515924016.070908
1013865610.955446,17386420196.470341,-475885257.510708,17560748484.293011
1019065670.644215,17430798150.971138,-470632626.809468,17605571385.662251
1024278986.088563,17475174550.348377,-465366606.302155,17650392716.179249
1029505556.823508,17519549390.642918,-460087196.458158,17695212471.844784
1034745382.382880,17563922667.895748,-454794397.748059,17740030648.659771
1039998462.299330,17608294378.148014,-449488210.643634,17784847242.625225
1045264796.104327,17652664517.440964,-444168635.617853,17829662249.742336
1050544383.328157,17697033081.816029,-438835673.144879,17874475666.012447
1055837223.499923,17741400067.314770,-433489323.700067,17919287487.437012
1061143316.147547,17785765469.978867,-428129587.759968,17964097710.017654
1066462660.797770,17830129285.850159,-422756465.802323,18008906329.756126
1071795256.976149,17874491510.970612,-417369958.306070,18053713342.654305
1077141104.207060,17918852141.382366,-411970065.751336,18098518744.714252
1082500202.013698,17963211173.127682,-406556788.619444,18143322531.938133
1087872549.918074,18007568602.248940,-401130127.392909,18188124700.328293
1093258147.441019,18051924424.788692,-395690082.555439,18232925245.887188
1098656994.102182,18096278636.789650,-390236654.591936,18277724164.617439
1104069089.420031,18140631234.294636,-384769843.988493,18322521452.521778
1109494432.911848,18184982213.346622,-379289651.232398,18367317105.603130
1114933024.093739,18229331569.988731,-373796076.812130,18412111119.864536
1120384862.480625,18273679300.264225,-368289121.217362,18456903491.309185
1125849947.586247,18318025400.216503,-362768784.938960,18501694215.940418
1131328278.923164,18362369865.889149,-357235068.468981,18546483289.761726
1136819856.002754,18406712693.325848,-351687972.300677,18591270708.776745
1142324678.335211,18451053878.570454,-346127496.928490,18636056468.989254
1147842745.429552,18495393417.666958,-340553642.848056,18680840566.403183
1153374056.793610,18539731306.659504,-334966410.556205,18725622997.022598
1158918611.934037,18584067541.592384,-329365800.550958,18770403756.851738
1164476410.356302,18628402118.510033,-323751813.331527,18815182841.894974
1170047451.564697,18672735033.457008,-318124449.398319,18859960248.156818
1175631735.062328,18717066282.478065,-312483709.252932,18904735971.641922
1181229260.351125,18761395861.618092,-306829593.398156,18949510008.355145
1186840026.931832,18805723766.922112,-301162102.337975,18994282354.301418
1192464034.304016,18850049994.435299,-295481236.577563,19039053005.485893
1198101281.966061,18894374540.202972,-289786996.623288,19083821957.913830
1203751769.415169,18938697400.270603,-284079382.982709,19128589207.590649
1209415496.147363,18983018570.683838,-278358396.164578,19173354750.521923
1215092461.657485,19027338047.488453,-272624036.678838,19218118582.713371
1220782665.439196,19071655826.730370,-266876305.036625,19262880700.170891
1226486106.984975,19115971904.455673,-261115201.750266,19307641098.900490
1232202785.786122,19160286276.710606,-255340727.333281,19352399774.908367
1237932701.332756,19204598939.541546,-249552882.300381,19397156724.200848
1243675853.113814,19248909888.995018,-243751667.167469,19441911942.784435
1249432240.617053,19293219121.117710,-237937082.451641,19486665426.665764
1255201863.329052,19337526631.956478,-232109128.671182,19531417171.851624
1260984720.735206,19381832417.558327,-226267806.345571,19576167174.348965
1266780812.319732,19426136473.970383,-220413115.995478,19620915430.164906
1272590137.565664,19470438797.239971,-214545058.142764,19665661935.306717
1278412695.954858,19514739383.414547,-208663633.310484,19710406685.781811
1284248486.967989,19559038228.541714,-202768842.022880,19755149677.597736
1290097510.084552,19603335328.669239,-196860684.805390,19799890906.762245
