hx0,hy0,hx1,hy1
1340.940062,-50.824654,-46.108114,846.308098
1346.420661,-52.066795,-47.164612,844.090012
1351.948918,-53.330215,-48.236569,841.860085
1357.524944,-54.615211,-49.324074,839.618423
1363.148872,-55.921883,-50.427204,837.365257
1368.820808,-57.250397,-51.546063,835.100609
1374.540879,-58.601173,-52.680753,832.824677
1380.309228,-59.974365,-53.831334,830.537506
1386.125961,-61.370201,-54.997899,828.239143
1391.991200,-62.788872,-56.180552,825.929802
1397.905076,-64.230652,-57.379368,823.609627
1403.867714,-65.695732,-58.594434,821.278763
1409.879243,-67.184494,-59.825837,818.937248
1415.939789,-68.697113,-61.073674,816.585175
1422.049498,-70.233688,-62.337998,814.222824
1428.208461,-71.794617,-63.618926,811.850212
1434.416833,-73.380234,-64.916521,809.467422
1440.674734,-74.990631,-66.230866,807.074699
1446.982307,-76.625938,-67.562045,804.672157
1453.339679,-78.286690,-68.910150,802.259819
1459.746975,-79.972961,-70.275254,799.837898
1466.204359,-81.685013,-71.657430,797.406593
1472.711931,-83.423271,-73.056754,794.965836
1479.269833,-85.187813,-74.473321,792.515892
1485.878198,-86.978973,-75.907200,790.056892
1492.537174,-88.796921,-77.358480,787.589020
1499.246895,-90.642052,-78.827224,785.112282
1506.007497,-92.514511,-80.313502,782.626961
1512.819134,-94.414650,-81.817370,780.133041
1519.681923,-96.342712,-83.338956,777.630806
1526.596010,-98.298996,-84.878299,775.120262
1533.561539,-100.283752,-86.435484,772.601646
1540.578649,-102.297218,-88.010572,770.075073
1547.647483,-104.339607,-89.603637,767.540749
1554.768176,-106.411400,-91.214760,764.998573
1561.940888,-108.512733,-92.843990,762.448936
1569.165773,-110.643990,-94.491398,759.891785
1576.442924,-112.805244,-96.157091,757.327400
1583.772522,-114.996956,-97.841112,754.755852
1591.154715,-117.219406,-99.543518,752.177330
1598.589649,-119.472900,-101.264385,749.591927
1606.077473,-121.757751,-103.003775,746.999832
1613.618332,-124.074142,-104.761755,744.401176
1621.212364,-126.422424,-106.538382,741.796097
1628.859715,-128.802826,-108.333725,739.184685
1636.560564,-131.215736,-110.147846,736.567230
1644.315044,-133.661430,-111.980827,733.943787
1652.123314,-136.140282,-113.832706,731.314476
1659.985521,-138.652443,-115.703552,728.679512
1667.901819,-141.198280,-117.593437,726.039017
1675.872347,-143.778175,-119.502407,723.393143
1683.897270,-146.392334,-121.430521,720.742035
1691.976748,-149.041183,-123.377811,718.085884
1700.110920,-151.725044,-125.344364,715.424782
1708.299936,-154.444168,-127.330250,712.758850
1716.543991,-157.198792,-129.335510,710.088341
1724.843252,-159.989304,-131.360167,707.413422
1733.197811,-162.816162,-133.404310,704.734032
