x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35
1000,0,984.80775308609,173.648178,939.692620992661,342.020143,866.02540397644,500,766.044442892075,642.78761,642.787610054016,766.044443,500,866.025404,342.020143032074,939.692621,173.648178100586,984.807753,0,1000,-173.648178100586,984.807753,-342.020143032074,939.692621,-500,866.025404,-642.787610054016,766.044443,-766.044442892075,642.78761,-866.02540397644,500,-939.692620992661,342.020143,-984.80775308609,173.648178,-1000,0,-984.80775308609,-173.648178,-939.692620992661,-342.020143,-866.02540397644,-500,-766.044442892075,-642.78761,-642.787610054016,-766.044443,-500,-866.025404,-342.020143032074,-939.692621,-173.648178100586,-984.807753,0,-1000,173.648178100586,-984.807753,342.020143032074,-939.692621,500,-866.025404,642.787610054016,-766.044443,766.044442892075,-642.78761,866.02540397644,-500,939.692620992661,-342.020143,984.80775308609,-173.648178
1000,-5.96046447753906e-008,984.807768583298,173.648088775575,939.692679166794,342.019983135164,866.025518655777,499.999801233411,766.044610500336,642.78741030395,642.787810087204,766.044275030494,500.000198841095,866.025288969278,342.020302772522,939.692562766373,173.648266553879,984.807737350464,0,1000,-173.648266792297,984.807737313211,-342.020302057266,939.692563027143,-500.000198364258,866.025289282203,-642.78780913353,766.044275723398,-766.04460978508,642.787411168218,-866.02551817894,499.999802067876,-939.692678928375,342.01998385787,-984.807768583298,173.648089081049,-1000,5.96046447753906e-008,-984.807768583298,-173.648088932037,-939.692678928375,-342.019983813167,-866.02551817894,-499.999802038074,-766.04460978508,-642.787411160767,-642.78780913353,-766.044275723398,-500.000198602676,-866.025289140642,-342.020302057266,-939.692563027143,-173.64826631546,-984.807737395167,0,-1000,173.648266792297,-984.807737313211,342.020302772522,-939.692562766373,500.000198841095,-866.025288969278,642.787810087204,-766.044275037944,766.044610500336,-642.787410318851,866.025518417358,-499.999801337719,939.692679166794,-342.019983179867,984.807768583298,-173.648088864982
1000,-4.02331352233887e-007,984.807815790176,173.647821262479,939.692853450775,342.019504159689,866.025861978531,499.999206230044,766.045112371445,642.786812126637,642.788408041,766.043773218989,500.000792980194,866.024945929646,342.020781755447,939.692388445139,173.648533821106,984.807690188289,-2.38418579101562e-007,1000,-173.648534297943,984.807690113783,-342.020781040192,939.692388698459,-500.000792741776,866.024946048856,-642.788406610489,766.043774396181,-766.045111179352,642.786813393235,-866.025861024857,499.99920783937,-939.692852973938,342.019505411386,-984.807815551758,173.647822603583,-1000,4.32133674621582e-007,-984.807815790176,-173.647821724415,-939.692853212357,-342.019504785538,-866.025861501694,-499.999207362533,-766.045111179352,-642.786813631654,-642.788406848907,-766.043774157763,-500.000792741776,-866.024946033955,-342.020780801773,-939.692388772964,-173.648532152176,-984.807690486312,7.15255737304688e-007,-1000,173.648534536362,-984.807690069079,342.020782232285,-939.692388266325,500.00079369545,-866.024945527315,642.788408041,-766.043773248792,766.045112133026,-642.786812409759,866.025861740112,-499.999206855893,939.692853212357,-342.019504606724,984.807815790176,-173.647822022438
1000,-1.34110450744629e-006,984.807894468307,173.647375494242,939.693144321442,342.018705129623,866.026434421539,499.998214840889,766.045948982239,642.785815089941,642.789404630661,766.042936950922,500.00178360939,866.024373948574,342.021578788757,939.692098349333,173.648978471756,984.80761179328,-1.19209289550781e-006,1000,-173.648979902267,984.807611554861,-342.021579265594,939.692098170519,-500.001784563065,866.024373412132,-642.789403438568,766.042937904596,-766.045947313309,642.785817176104,-866.026432752609,499.998217642307,-939.693143129349,342.018707931042,-984.80789399147,173.647378563881,-1000,1.40070915222168e-006,-984.807894468307,-173.64737573266,-939.693143844604,-342.018706142902,-866.026433706284,-499.9982162714,-766.045947313309,-642.785817176104,-642.789403676987,-766.04293769598,-500.001783847809,-866.024373799562,-342.021577358246,-939.692098855972,-173.648976564407,-984.807612121105,9.5367431640625e-007,-1000,173.648980379105,-984.807611465454,342.021581172943,-939.692097485065,500.001784801483,-866.024373292923,642.789404630661,-766.042936891317,766.045948505402,-642.785815745592,866.026433706284,-499.998216301203,939.693143367767,-342.018707275391,984.80789399147,-173.647377997637
1000,-3.21865081787109e-006,984.808004617691,173.64675077796,939.693551301956,342.01758646965,866.027235984802,499.996826559305,766.047119855881,642.784419536591,642.790799856186,766.041766226292,500.003169775009,866.023573756218,342.022694826126,939.691692143679,173.649599552155,984.807502299547,-3.33786010742188e-006,1000,-173.6496052742,984.807501286268,-342.022697210312,939.691691279411,-500.003172397614,866.023572266102,-642.790798425674,766.041767477989,-766.047117710114,642.784422188997,-866.027233362198,499.996831268072,-939.693549394608,342.017592281103,-984.808003425598,173.646757543087,-1000,3.42726707458496e-006,-984.808004617691,-173.646750718355,-939.693551063538,-342.017587453127,-866.027234792709,-499.996828496456,-766.047118425369,-642.78442132473,-642.79079914093,-766.041766822338,-500.003170728683,-866.023573219776,-342.022693395615,-939.691692650318,-173.649598121643,-984.807502537966,2.86102294921875e-006,-1000,173.649605751038,-984.807501196861,342.022699594498,-939.691690325737,500.003173589706,-866.023571461439,642.790800571442,-766.041765540838,766.047119140625,-642.784420460463,866.027234077454,-499.996829807758,939.693549633026,-342.017591416836,984.808003664017,-173.64675667882
1000,-6.55651092529297e-006,984.808146476746,173.645946741104,939.694074869156,342.016148030758,866.02826666832,499.99504122138,766.048625469208,642.782625466585,642.792593479156,766.040261298418,500.004951238632,866.022545188665,342.024129629135,939.691169917583,173.650397777557,984.807361543179,-6.67572021484375e-006,1000,-173.650409698486,984.807359457016,-342.0241355896,939.691167682409,-500.004957199097,866.022541791201,-642.792592525482,766.040261983871,-766.048623323441,642.78262796998,-866.028262376785,499.995048820972,-939.694071292877,342.016158044338,-984.80814409256,173.6459595263,-1000,6.58631324768066e-006,-984.808146476746,-173.645946651697,-939.694074630737,-342.016148656607,-866.028265476227,-499.99504327774,-766.048624515533,-642.782626599073,-642.792593240738,-766.040261477232,-500.004953861237,-866.022543668747,-342.024127721786,-939.691170603037,-173.650396347046,-984.807361811399,5.96046447753906e-006,-1000,173.650409698486,-984.807359457016,342.024137973785,-939.691166818142,500.004958152771,-866.022541105747,642.792594671249,-766.040260225534,766.048624038696,-642.782626897097,866.028263092041,-499.995047450066,939.694071531296,-342.01615729928,984.808144330978,-173.645958781242
1000,-1.1444091796875e-005,984.808319807053,173.644963383675,939.694715261459,342.014388978481,866.029526472092,499.992859244347,766.05046582222,642.780431985855,642.794785022736,766.038422226906,500.007128953934,866.021287798882,342.025880813599,939.690532505512,173.651371479034,984.807189881802,-1.19209289550781e-005,1000,-173.651393651962,984.807185947895,-342.025895357132,939.690527200699,-500.007139444351,866.021281838417,-642.794785499573,766.038421809673,-766.050462722778,642.780435860157,-866.02952003479,499.992870271206,-939.694709062576,342.014405786991,-984.808315992355,173.644984602928,-1000,1.13844871520996e-005,-984.808319807053,-173.644963204861,-939.694715023041,-342.014389574528,-866.029525518417,-499.992860913277,-766.050465345383,-642.780432641506,-642.794785261154,-766.038421988487,-500.007132530212,-866.021285772324,-342.025880813599,-939.690532505512,-173.65137219429,-984.807189762592,1.00135803222656e-005,-1000,173.651392698288,-984.807186126709,342.025897026062,-939.690526545048,500.007140159607,-866.021281301975,642.79478764534,-766.038420021534,766.050463438034,-642.780434906483,866.029520273209,-499.992869853973,939.694709300995,-342.014405310154,984.808316230774,-173.644984126091
1000,-1.81794166564941e-005,984.808524847031,173.643800020218,939.695472002029,342.01230931282,866.031015634537,499.990280032158,766.052640914917,642.777839958668,642.797375440598,766.036248624325,500.009702682495,866.019801795483,342.027950763702,939.689779102802,173.652522802353,984.806986808777,-1.9073486328125e-005,1000,-173.65255689621,984.806980788708,-342.027975320816,939.689770162106,-500.009718894958,866.019792556763,-642.797377824783,766.036246538162,-766.052636623383,642.777845025063,-866.031005859375,499.990296781063,-939.695462465286,342.012335836887,-984.808518886566,173.643833458424,-1000,1.78217887878418e-005,-984.808524847031,-173.643800020218,-939.695471763611,-342.012310028076,-866.031014680862,-499.990281581879,-766.05264043808,-642.777840316296,-642.797375440598,-766.036248624325,-500.009705781937,-866.019800126553,-342.027951478958,-939.689778864384,-173.652522802353,-984.806986808777,1.64508819580078e-005,-1000,173.65255522728,-984.806981086731,342.027976751328,-939.689769625664,500.009719610214,-866.01979213953,642.797379732132,-766.036244928837,766.052636623383,-642.777844846249,866.031006097794,-499.990296244621,939.695462465286,-342.012335598469,984.808518886566,-173.643833637238
1000,-2.72989273071289e-005,984.808761835098,173.642456769943,939.696345806122,342.009908616543,866.032733917236,499.987303733826,766.055150985718,642.774848401546,642.800364017487,766.033740699291,500.012671709061,866.018087685108,342.030338525772,939.688910007477,173.653849363327,984.806752920151,-2.81333923339844e-005,1000,-173.653900146484,984.806743979454,-342.030375957489,939.688896358013,-500.012695789337,866.018073678017,-642.800369262695,766.033736288548,-766.055144309998,642.774856209755,-866.03271985054,499.987327992916,-939.696331501007,342.009948015213,-984.808753013611,173.642506718636,-1000,2.65240669250488e-005,-984.808761835098,-173.642456829548,-939.696345567703,-342.009909689426,-866.032732725143,-499.987305760384,-766.055150747299,-642.774848639965,-642.800364494324,-766.033740460873,-500.012675523758,-866.018085479736,-342.030339002609,-939.688909828663,-173.653849840164,-984.806752800941,2.50339508056641e-005,-1000,173.653898954391,-984.806744158268,342.030377626419,-939.688895761967,500.012695550919,-866.018073916435,642.800371170044,-766.033734738827,766.055144071579,-642.774856448174,866.032720088959,-499.987327635288,939.696331501007,-342.009947955608,984.808752775192,-173.642507016659
1000,-3.88622283935547e-005,984.809030294418,173.640933215618,939.697336435318,342.007187008858,866.034682035446,499.983929395676,766.057995557785,642.771458089352,642.803750991821,766.030898690224,500.016036272049,866.016145050526,342.033044338226,939.687925159931,173.655351877213,984.806487977505,-3.93390655517578e-005,1000,-173.655423641205,984.80647534132,-342.033097743988,939.687905669212,-500.016070127487,866.016125559807,-642.803759098053,766.030891895294,-766.057986736298,642.771468639374,-866.034662008286,499.98396396637,-939.697316169739,342.007242918015,-984.809017896652,173.641004443169,-1000,3.79681587219238e-005,-984.809030294418,-173.640933513641,-939.697335958481,-342.007188558578,-866.034680604935,-499.983931839466,-766.057995319366,-642.77145832777,-642.80375123024,-766.0308983922,-500.016038894653,-866.016143500805,-342.033044338226,-939.687925100327,-173.655352115631,-984.8064879179,3.62396240234375e-005,-1000,173.655423402786,-984.806475400925,342.033098697662,-939.687905311584,500.01606965065,-866.016125798225,642.80376124382,-766.030890107155,766.057985782623,-642.771469831467,866.034662008286,-499.983964085579,939.69731593132,-342.007242977619,984.809017896652,-173.641004681587
