earthx,earthy,probeX0,probeY0,probeX1,probeY1,probeX2,probeY2,probeX3,probeY3,probeX4,probeY4,probeX5,probeY5,probeX6,probeY6,probeX7,probeY7,probeX8,probeY8
22448500.3368309,2591400271.27846,-1986456733.80749,2126206462.44439,-1486083086.40165,2117648089.53078,-985427466.943151,2109332357.59013,-1977762860.48361,2626048107.03173,-1477324584.50066,2617383922.05015,-976339625.782384,2608716575.9765,-1969135252.6366,3125890134.17695,-1468762822.6543,3117120890.63101,-968111242.948017,3108105761.48826
23229239.5117485,2636075000.14906,-1985833790.62916,2171484121.34761,-1485447135.48749,2162779963.00435,-984768666.888153,2154326859.23114,-1976989474.29382,2671320255.60611,-1476535953.4022,2662506598.54129,-975516717.588696,2653689613.7775,-1968213727.82006,3171156792.54794,-1467828354.15288,3162234429.92135,-967154137.963043,3153057597.09386
24023323.2625366,2680749493.83739,-1985197646.72348,2216761641.6083,-1484797760.83764,2207911756.58914,-984096049.930282,2199321482.31054,-1976202869.3478,2716592171.21688,-1475733842.83639,2707629037.47286,-974679742.599922,2698662403.65524,-1967279005.58687,3216423124.32771,-1466880467.43391,3207347576.04264,-966183228.932703,3198008824.45931
24830751.5183697,2725423748.35774,-1984548302.1392,2262039019.28196,-1484134962.47721,2253043466.27345,-983409615.994978,2244316222.71114,-1975403045.72287,2761863849.91609,-1474918252.8747,2752751234.81885,-973828700.816544,2743634941.40629,-1966331086.04172,3261689125.57658,-1465919162.61584,3252460324.98951,-965198516.000644,3242959439.44988
25651524.2072319,2770097759.72441,-1983885756.92635,2307316250.42409,-1483458740.43252,2298175088.04553,-982709365.008251,2289311076.31587,-1974590003.49764,2807135287.75583,-1474089183.58985,2797873186.55327,-972963592.239045,2788607222.82718,-1965369969.29065,3306954792.35493,-1464944439.81831,3297572672.75666,-964199999.311098,3287909437.93067
26485641.2559175,2814771523.95173,-1983210011.13626,2352593331.09018,-1482769094.73111,2343306617.89362,-981995296.896683,2334306039.00778,-1973763742.75202,2852406480.7882,-1473246635.05573,2842994888.65015,-972084416.867904,2833579243.71435,-1964395655.44094,3352220120.72324,-1463956299.16215,3342684615.33888,-963187679.008883,3332858815.76659
27333102.5900302,2859445037.05404,-1982521064.82156,2397870257.33571,-1482066025.4017,2388438051.80593,-981267411.587424,2379301106.67005,-1972924263.56721,2897677425.06536,-1472390607.34745,2888116337.08357,-971191174.703602,2878550999.86418,-1963408144.60117,3397485106.74202,-1462954740.7694,3387796148.73102,-962161555.2394,3377807568.82236
28193908.1339838,2904118295.04572,-1981818918.03615,2443147025.21615,-1481349532.47427,2433569385.77064,-980525709.008194,2424296275.18596,-1972071566.02572,2942948116.63948,-1471521100.54129,2933237527.82759,-970283865.746612,2923522487.07298,-1962407436.88121,3442749746.47187,-1461939764.76331,3432907268.92801,-961121628.148637,3422755692.96256
29068057.8110016,2948791293.94116,-1981103570.83524,2488423630.78697,-1480619615.97997,2478700615.77588,-979770189.087282,2469291540.43893,-1971205650.21136,2988218551.56277,-1470638114.71477,2978358456.85632,-969362489.997408,2968493701.13697,-1961393532.39222,3488014035.97347,-1460911371.26831,3478017971.92486,-960067897.883163,3467703184.05156
29955551.5431171,2993464029.75478,-1980375023.27534,2533700070.10361,-1479876275.95118,2523831737.80977,-979000851.753548,2514286898.3125,-1970326516.20922,3033488725.88747,-1469741649.94659,3023479120.14389,-968427047.45646,3013464637.85233,-1960366431.24662,3533277971.30756,-1459869560.41005,3523128253.71664,-959000364.590135,3512650037.95357
30856389.2511733,3038136498.50101,-1979633275.41423,2578976339.22151,-1479119512.42149,2568962747.8604,-978217696.936419,2559282344.69031,-1969434164.10572,3078758635.66584,-1468831706.31666,3068599513.66445,-967477538.124232,3058435293.01514,-1959326133.55814,3578541548.53494,-1458814332.31538,3568238110.29853,-957919028.417292,3557596250.53262
31770570.8548232,3082808696.19432,-1978878327.31099,2624252434.19611,-1478349325.42569,2614093641.91582,-977420724.565891,2604277875.45615,-1968528593.98856,3124028276.9502,-1467908283.90608,3113719633.39217,-966513962.001186,3103405662.42141,-1958272639.44179,3623804763.71651,-1457745687.11233,3613347537.66576,-956823889.51296,3602541817.65255
32698096.2725296,3127480618.84919,-1978110179.02601,2669528351.08283,-1477565714.99981,2659224415.96406,-976609934.572526,2649273486.49391,-1967609805.94673,3169297645.79288,-1466971382.79717,3158839475.30125,-965536319.087778,3148375741.86708,-1957205949.01387,3669067612.91323,-1456663624.93015,3658456531.81364,-955714948.026048,3647486735.17703
33638965.421565,3172152262.48014,-1977328830.62096,2714804085.93711,-1476768681.18107,2704355065.99312,-975785326.887458,2694269173.68758,-1966677800.07054,3214566738.24627,-1466021003.07343,3203959035.36592,-964544609.384459,3193345527.148,-1956126062.39195,3714330092.18613,-1455568145.89928,3703565088.73756,-954592204.106048,3692430998.96956
34593178.2180121,3216823623.10171,-1976534282.1588,2760079634.81435,-1475958224.0079,2749485587.99098,-974946901.442385,2739264932.9213,-1965732576.45158,3259835550.36275,-1465057144.81957,3249078309.56042,-963538832.891672,3238315014.05997,-1955032979.6949,3759592197.59631,-1454459250.15138,3748673204.433,-953455657.903039,3737374604.89344
35560734.5767631,3261494696.72845,-1975726533.70379,2805354993.76996,-1475134343.51994,2794615977.94557,-974094658.169574,2784260760.07932,-1964774135.18276,3305104078.19479,-1464079808.12152,3294197293.85903,-962518989.609856,3283284198.39867,-1953926701.04287,3804853925.20496,-1453336937.81928,3793780874.89552,-952305309.567681,3782317548.8118
36541634.4115203,3306165479.37496,-1974905585.32148,2850630158.85934,-1474297039.75807,2839746231.84482,-973228597.001859,2829256651.046,-1963802476.35826,3350372317.79486,-1463088993.06638,3339315984.23604,-961485079.539441,3328253075.95973,-1952807226.55729,3850115271.07334,-1452201209.03703,3838888096.12072,-951141159.251222,3827259826.5876
37535877.6347957,3350835967.05585,-1974071437.07871,2895905126.1379,-1473446312.76435,2884876345.67661,-972348717.87264,2874252601.70581,-1962817600.07359,3395640265.21548,-1462084699.74247,3384434376.66579,-960437102.680852,3373221642.53869,-1951674556.36088,3895376231.26277,-1451052063.93987,3883994864.10433,-949963207.105492,3872201434.08358
38543464.1579114,3395506155.78575,-1973224089.04361,2941179891.66102,-1472582162.58207,2930006315.42881,-971455020.715884,2919248607.94334,-1961819506.42553,3440907916.50919,-1461066928.23931,3429552467.12263,-959375059.034502,3418189893.93098,-1950528690.57765,3940636801.83467,-1449889502.66426,3929101174.84213,-948771453.282906,3917142367.16235
39564393.8909992,3440176041.57934,-1972363541.28563,2986454451.48409,-1471704589.25572,2975136137.08926,-970547505.466123,2964244665.64332,-1960808195.51218,3486175267.72858,-1460035678.64761,3474670251.58092,-958298948.600797,3463157825.932,-1949369629.33289,3985896978.85052,-1448713525.34783,3974207024.32999,-947565897.93646,3962082621.6863
40598666.7430007,3484845620.4513,-1971489793.87548,3031728801.6625,-1470813592.83102,3020265806.64577,-969626172.058457,3009240770.69057,-1959783667.43293,3531442314.92629,-1458990951.0593,3519787726.01509,-957208771.380134,3508125434.33701,-1948197372.75317,4031156758.37187,-1447524132.12942,4019312408.56386,-946346541.219738,4007022193.51764
41646282.6216679,3529514888.41636,-1970602846.88517,3077002938.25164,-1469909173.35489,3065395320.08613,-968691020.428548,3054236918.97002,-1958745922.28847,3576709054.15498,-1457932745.56749,3564904886.39957,-956104527.372901,3553092714.94121,-1947011920.96635,4076416136.46037,-1446321323.1491,4064417323.53977,-945113383.286906,4051961078.51842
42707241.4335621,3574183841.48927,-1969702700.38803,3122276857.30689,-1468991330.87546,3110524673.3981,-967742050.512626,3099233106.36674,-1957694960.18079,3621975481.46735,-1456861062.26652,3610021728.70881,-954986216.579472,3598059663.53972,-1945813274.10157,4121675109.17774,-1445105098.54808,4109521765.25382,-943866424.292714,4096899272.55047
43781543.0840549,3618852475.68481,-1968789354.45864,3167550554.88361,-1468060065.44208,3155653862.56941,-966779262.247486,3144229328.76589,-1956630781.21317,3667241592.91614,-1455775901.2519,3655138248.91731,-953853839.000214,3643026275.92755,-1944601432.28927,4166933672.58577,-1443875458.46883,4154625729.70221,-942605664.392496,4141836771.47548
44869187.4773278,3663520787.01777,-1967862809.17292,3212824027.0372,-1467115377.10531,3200782883.58779,-965802655.570485,3189225582.05276,-1955553385.4902,3712507384.55413,-1454677262.62037,3700254442.99958,-952707394.635478,3687992547.89963,-1943376395.66115,4212191822.74632,-1442632403.05498,4199729212.88121,-941331103.742168,4186773571.1549
