probeX0,probeY0,perturbedX00,perturbedY00,perturbedX01,perturbedY01,perturbedX02,perturbedY02,perturbedX03,perturbedY03,h2X00,h2Y00,h2X01,h2Y01,probeX1,probeY1,perturbedX10,perturbedY10,perturbedX11,perturbedY11,perturbedX12,perturbedY12,perturbedX13,perturbedY13,h2X10,h2Y10,h2X11,h2Y11,probeX2,probeY2,perturbedX20,perturbedY20,perturbedX21,perturbedY21,perturbedX22,perturbedY22,perturbedX23,perturbedY23,h2X20,h2Y20,h2X21,h2Y21,probeX3,probeY3,perturbedX30,perturbedY30,perturbedX31,perturbedY31,perturbedX32,perturbedY32,perturbedX33,perturbedY33,h2X30,h2Y30,h2X31,h2Y31,probeX4,probeY4,perturbedX40,perturbedY40,perturbedX41,perturbedY41,perturbedX42,perturbedY42,perturbedX43,perturbedY43,h2X40,h2Y40,h2X41,h2Y41,probeX5,probeY5,perturbedX50,perturbedY50,perturbedX51,perturbedY51,perturbedX52,perturbedY52,perturbedX53,perturbedY53,h2X50,h2Y50,h2X51,h2Y51,probeX6,probeY6,perturbedX60,perturbedY60,perturbedX61,perturbedY61,perturbedX62,perturbedY62,perturbedX63,perturbedY63,h2X60,h2Y60,h2X61,h2Y61,probeX7,probeY7,perturbedX70,perturbedY70,perturbedX71,perturbedY71,perturbedX72,perturbedY72,perturbedX73,perturbedY73,h2X70,h2Y70,h2X71,h2Y71,probeX8,probeY8,perturbedX80,perturbedY80,perturbedX81,perturbedY81,perturbedX82,perturbedY82,perturbedX83,perturbedY83,h2X80,h2Y80,h2X81,h2Y81
-2000000000,-500000000,-1999999000,-500000000,-2000000000,-499999000,-2000001000,-500000000,-2000000000,-500001000,-1999999000,-500000000,-2000000000,-499999000,-1500000000,-500000000,-1499999000,-500000000,-1500000000,-499999000,-1500001000,-500000000,-1500000000,-500001000,-1499999000,-500000000,-1500000000,-499999000,-1000000000,-500000000,-999999000,-500000000,-1000000000,-499999000,-1000001000,-500000000,-1000000000,-500001000,-999999000,-500000000,-1000000000,-499999000,-2000000000,0,-1999999000,0,-2000000000,1000,-2000001000,0,-2000000000,-1000,-1999999000,0,-2000000000,1000,-1500000000,0,-1499999000,0,-1500000000,1000,-1500001000,0,-1500000000,-1000,-1499999000,0,-1500000000,1000,-1000000000,0,-999999000,0,-1000000000,1000,-1000001000,0,-1000000000,-1000,-999999000,0,-1000000000,1000,-2000000000,500000000,-1999999000,500000000,-2000000000,500001000,-2000001000,500000000,-2000000000,499999000,-1999999000,500000000,-2000000000,500001000,-1500000000,500000000,-1499999000,500000000,-1500000000,500001000,-1500001000,500000000,-1500000000,499999000,-1499999000,500000000,-1500000000,500001000,-1000000000,500000000,-999999000,500000000,-1000000000,500001000,-1000001000,500000000,-1000000000,499999000,-999999000,500000000,-1000000000,500001000
3.56387733706602e-306,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,4.78212971451954e-310,3.56049844072812e-306,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56400771248742e-306,0,0,0,0,0,0,0,2.6075088577705e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
